nct_id,dropout_percentage_all,Clinical Title,Overall Status,Trial Phase,Allocation,Start Date,Completion Date,Primary Purpose,City,State,Zipcode,Gender,Minimum Age,New Completion Date,New Start Date,length_of_trial,RUCA2.0,Cleaned_Zipcodes
NCT00001596,17.39130435,Oral Pirfenidone for the Pulmonary Fibrosis of Hermansky-Pudlak Syndrome,Completed,Phase 2,Randomized,September 2005,"May 9, 2016",Treatment,Bethesda,Maryland,20892,All,18.0,2016-05-01,2005-09-01,3895.0,1.0,20892
NCT00001723,8.0,Safety and Efficacy of Xenical in Children and Adolescents With Obesity-Related Diseases,Completed,Phase 2,Randomized,May 1998,October 2011,Treatment,Bethesda,Maryland,20892,All,12.0,2011-10-01,1998-05-01,4901.0,1.0,20892
NCT00003869,21.87789084,Carboxyamidotriazole in Treating Patients With Stage III or Stage IV Non-small Cell Lung Cancer,Completed,Phase 3,Randomized,April 1999,May 2008,Treatment,Rochester,Minnesota,55905,All,18.0,2008-05-01,1999-04-01,3318.0,1.0,55905
NCT00003901,0.8595988539,"Prognostic Study of Metastases in Patients With Stage I, Stage II, or Stage III Non-small Cell Lung Cancer That Can Be Removed by Surgery",Completed,Phase 3,,July 1999,October 2011,Diagnostic,Mobile,Alabama,36608,All,18.0,2011-10-01,1999-07-01,4475.0,1.0,36608
NCT00045162,24.43651603,S0124: Cisplatin Combined With Irinotecan or Etoposide For Extensive-Stage Small Cell Lung Cancer,Completed,Phase 3,Randomized,November 2002,December 2009,Treatment,Anniston,Alabama,36202,All,18.0,2009-12-01,2002-11-01,2587.0,1.0,36202
NCT00047385,1.406735931,National Lung Screening Trial (NLST) Screening,Completed,Phase 3,Randomized,August 2002,October 2010,Screening,Birmingham,Alabama,35233,All,55.0,2010-10-01,2002-08-01,2983.0,1.0,35233
NCT00047463,13.63636364,Effects of Treating Obstructive Sleep Apnea in Epilepsy,Completed,Phase 2,Randomized,September 2002,July 2008,Treatment,Ann Arbor,Michigan,48109,All,18.0,2008-07-01,2002-09-01,2130.0,1.0,48109
NCT00048997,7.975460123,Radiation Therapy in Preventing Central Nervous System (CNS) Metastases in Patients With Non-Small Cell Lung Cancer,Completed,Phase 3,Randomized,September 2002,December 2016,Treatment,Phoenix,Arizona,85013,All,18.0,2016-12-01,2002-09-01,5205.0,1.0,85013
NCT00050960,40.19607843,"Evaluation of Efficacy, Safety and Tolerability of Targretin Capsules in Patients With Advanced or Metastatic Non-small Cell Lung Cancer",Completed,Phase 3,Randomized,May 2002,March 2005,Treatment,Montgomery,Alabama,36106,All,18.0,2005-03-01,2002-05-01,1035.0,1.0,36106
NCT00051363,22.62039077,Apnea Positive Pressure Long-Term Efficacy Study,Completed,Phase 3,Randomized,September 2002,September 2008,Treatment,Tucson,Arizona,85724,All,18.0,2008-09-01,2002-09-01,2192.0,1.0,85724
NCT00053846,12.92056595,Buspirone in Reducing Shortness of Breath in Patients With Cancer,Completed,Phase 2/Phase 3,Randomized,November 2002,January 2011,Supportive Care,Chicago,Illinois,60612-7323,All,18.0,2011-01-01,2002-11-01,2983.0,1.0,60612
NCT00057746,0.5050505051,Brain Irradiation in Treating Patients With Limited-Stage Small Cell Lung Cancer,Completed,Phase 2,Randomized,February 2003,November 2013,Treatment,Birmingham,Alabama,35294,All,18.0,2013-11-01,2003-02-01,3926.0,1.0,35294
NCT00057837,20.45454545,Comparison of Two Combination Chemotherapy Regimens in Treating Patients With Extensive-Stage Small Cell Lung Cancer,Completed,Phase 2,Randomized,"July 14, 2004",August 2012,Treatment,Lewes,Delaware,19958,All,18.0,2012-08-01,2004-07-01,2953.0,4.0,19958
NCT00062010,0.0,"Interferon Alfa, Isotretinoin, and Paclitaxel in Treating Patients With Recurrent Small Cell Lung Cancer",Completed,Phase 2,,"May 26, 2004",August 2012,Treatment,Decatur,Georgia,30033,All,18.0,2012-08-01,2004-05-01,3014.0,1.0,30033
NCT00063154,25.58139535,"Safety and Effect of Pertuzumab in Patients With Advanced Non-Small Cell Lung Cancer, Which Has Progressed After Prior Chemotherapy",Completed,Phase 2,,July 2003,April 2005,Treatment,Scottsdale,Arizona,85258,All,18.0,2005-04-01,2003-07-01,640.0,1.0,85258
NCT00065429,4.87804878,Safety Study Using Weekly Infusions of BB-10901 in Patients With Small Cell Lung Cancer,Completed,Phase 1/Phase 2,Non-Randomized,April 2003,December 2008,Treatment,Denver,Colorado,80218,All,18.0,2008-12-01,2003-04-01,2071.0,1.0,80218
NCT00066222,1.408450704,"Cisplatin, Etoposide, and Radiation Therapy in Treating Patients With Limited-Stage Small Cell Lung Cancer",Completed,Phase 2,,June 2003,November 2013,Treatment,Birmingham,Alabama,35294,All,18.0,2013-11-01,2003-06-01,3806.0,1.0,35294
NCT00069823,2.246453945,Study of Acid Reflux in Asthma,Completed,Phase 3,Randomized,September 2003,May 2008,Treatment,Birmingham,Alabama,35294,All,18.0,2008-05-01,2003-09-01,1704.0,1.0,35294
NCT00071032,0.8433040077,Safety and Effectiveness of Two Blood Transfusion Strategies in Surgical Patients With Cardiovascular Disease,Completed,Phase 3,Randomized,July 2003,May 2009,Treatment,New Brunswick,New Jersey,08903,All,50.0,2009-05-01,2003-07-01,2131.0,1.0,08903
NCT00078312,46.64634146,"Armodafinil (CEP-10953) for Treatment of Narcolepsy, Obstructive Sleep Apnea/Hypopnea Syndrome, or Chronic Shift Work Sleep Disorder",Completed,Phase 3,Non-Randomized,January 2004,July 2006,Treatment,Peoria,Arizona,85381,All,18.0,2006-07-01,2004-01-01,912.0,1.0,85381
NCT00079040,1.587301587,"Cisplatin, Etoposide, and Bevacizumab in Treating Patients With Previously Untreated Extensive Stage Small Cell Lung Cancer",Completed,Phase 2,,January 2006,January 2009,Treatment,Boston,Massachusetts,02215,All,18.0,2009-01-01,2006-01-01,1096.0,1.0,02215
NCT00079937,14.96609178,"Efficacy and Safety of Omalizumab in Children (6 - < 12 Years) With Moderate-severe, Inadequately Controlled Allergic Asthma",Completed,Phase 3,Randomized,April 2004,March 2008,Treatment,Birmingham,Alabama,35209,All,6.0,2008-03-01,2004-04-01,1430.0,1.0,35209
NCT00080223,54.21686747,Safety Study of Oral Pirfenidone in Patients With Pulmonary Fibrosis/Idiopathic Pulmonary Fibrosis,Completed,Phase 2,,"August 31, 2003","April 30, 2015",Other,Phoenix,Arizona,85006,All,40.0,2015-04-01,2003-08-01,4261.0,1.0,85006
NCT00087438,0.0,Stereotactic Body Radiation Therapy in Treating Patients With Inoperable Stage I or Stage II Non-Small Cell Lung Cancer,Completed,Phase 2,,May 2004,December 2016,Treatment,Rochester,New York,14642,All,18.0,2016-12-01,2004-05-01,4597.0,1.0,14642
NCT00087698,18.18181818,Phase II Trial of Neo-Adjuvant Pemetrexed Plus Cisplatin Followed by Surgery and Radiation for Pleural Mesothelioma,Completed,Phase 2,Non-Randomized,September 2003,February 2008,Treatment,San Francisco,California,,All,18.0,2008-02-01,2003-09-01,1614.0,1.0,94101
NCT00094094,21.875,Anti-angiogenesis Agent AG-013736 in Patients With Advanced Non-Small Cell Lung Cancer,Completed,Phase 2,,February 2005,July 2007,Treatment,Irvine,California,92612,All,18.0,2007-07-01,2005-02-01,880.0,1.0,92612
NCT00095199,18.6503884,Docetaxel or Pemetrexed With or Without Cetuximab in Patients With Recurrent or Progressive Non-Small Cell Lung Cancer,Completed,Phase 3,Randomized,January 2005,July 2011,Treatment,Birmingham,Alabama,35294,All,18.0,2011-07-01,2005-01-01,2372.0,1.0,35294
NCT00096226,26.31578947,"Paclitaxel, Carboplatin, and Radiation Therapy in Treating Patients Who Are Undergoing Surgery for Stage III Non-Small Cell Lung Cancer",Completed,Phase 2,,September 2004,"May 16, 2016",Treatment,Phoenix,Arizona,85013,All,18.0,2016-05-01,2004-09-01,4260.0,1.0,85013
NCT00096486,6.477732794,Gefitinib and Everolimus in Treating Patients With Stage IIIB or Stage IV or Recurrent Non-Small Cell Lung Cancer,Completed,Phase 1/Phase 2,,May 2004,July 2010,Treatment,New York,New York,10021,All,18.0,2010-07-01,2004-05-01,2252.0,1.0,10021
NCT00097773,6.25,Comparison of Two Treatment Regimens to Reduce PA Infection in Children With Cystic Fibrosis,Completed,Phase 2,Randomized,September 2004,August 2009,Prevention,Birmingham,Alabama,35233,All,18.0,2009-08-01,2004-09-01,1795.0,1.0,35233
NCT00098254,5.405405405,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,Completed,Phase 2,Non-Randomized,December 2004,January 2011,Treatment,Bethesda,Maryland,20892,All,18.0,2011-01-01,2004-12-01,2222.0,1.0,20892
NCT00100932,21.97802198,"Phase II Study Of E7389, Halichondrin B Analogue, In Patients With Advanced Non-Small Cell Lung Cancer, NSCLC, Who Progressed During Or After Platinum-Based Doublet Chemotherapy",Completed,Phase 2,Non-Randomized,December 2004,,Treatment,Gilroy,California,,All,18.0,,2004-12-01,731.0,1.0,95020
NCT00102804,12.79340565,Pemetrexed and Best Supportive Care Versus Placebo and Best Supportive Care in Non-Small Cell Lung Cancer (NSCLC),Completed,Phase 3,Randomized,March 2005,December 2013,Treatment,Minneapolis,Minnesota,55455,All,18.0,2013-12-01,2005-03-01,3197.0,1.0,55455
NCT00103259,13.95881007,Bortezomib With or Without Irinotecan in Treating Patients With Locally Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck,Completed,Phase 2,Randomized,July 2005,November 2011,Treatment,Boston,Massachusetts,02215,All,18.0,2011-11-01,2005-07-01,2314.0,1.0,02215
NCT00104520,52.59259259,Safety and Efficacy Study of Aztreonam for Inhalation Solution (AZLI) in Cystic Fibrosis Patients With P. Aeruginosa,Completed,Phase 3,Randomized,February 2005,September 2006,Treatment,Phoenix,Arizona,,All,6.0,2006-09-01,2005-02-01,577.0,1.0,13135
NCT00105183,5.188943886,EZ-2053 in the Prophylaxis of Acute Pulmonary Allograft Rejection,Completed,Phase 3,Randomized,January 2005,January 2011,Prevention,Los Angeles,California,90048,All,18.0,2011-01-01,2005-01-01,2191.0,1.0,90048
NCT00107952,5.361968834,Comparison of Telavancin and Vancomycin for Hospital-acquired Pneumonia Due to Methicillin-resistant Staphylococcus Aureus,Completed,Phase 3,Randomized,February 2005,July 2007,Treatment,Springfield,Massachusetts,01199,All,18.0,2007-07-01,2005-02-01,880.0,1.0,01199
NCT00111839,26.26866917,Effects of Matuzumab in Combination With Pemetrexed for the Treatment of Advanced Lung Cancer,Completed,Phase 2,Randomized,"May 31, 2005","March 31, 2009",Treatment,Tucson,Arizona,85715,All,18.0,2009-03-01,2005-05-01,1400.0,1.0,85715
NCT00112294,0.0,Study of Taxane/Carboplatin +/- Cetuximab as First-Line Treatment for Patients With Advanced/Metastatic Non-Small Cell Lung Cancer,Completed,Phase 3,Randomized,December 2004,August 2008,Treatment,Birmingham,Alabama,,All,18.0,2008-08-01,2004-12-01,1339.0,1.0,35203
NCT00112359,24.19642857,International Safety and Efficacy Study of Aztreonam for Inhalation Solution (AZLI) in Cystic Fibrosis Patients With P. Aeruginosa,Completed,Phase 3,Randomized,May 2005,April 2007,Treatment,Birmingham,Alabama,,All,6.0,2007-04-01,2005-05-01,700.0,1.0,35203
NCT00113516,26.19047619,A Study Of SU011248 As Therapy In Patients With Locally Advanced Or Metastatic Non-Small Cell Lung Cancer,Completed,Phase 2,Non-Randomized,September 2005,March 2009,Treatment,Los Angeles,California,90048,All,18.0,2009-03-01,2005-09-01,1277.0,1.0,90048
NCT00117325,6.25181645,Study Of Adults And Adolescents With Vasomotor Rhinitis,Completed,Phase 3,Randomized,"July 11, 2005","February 9, 2006",Treatment,Beverly Hills,California,90212,All,12.0,2006-02-01,2005-07-01,215.0,1.0,90212
