nct_id,dropout_percentage_all,Clinical Title,Overall Status,Trial Phase,Allocation,Start Date,Completion Date,Primary Purpose,City,State,Zipcode,Gender,Minimum Age,Maximum Age,New Completion Date,New Start Date,length_of_trial
NCT00001596,17.39130435,Oral Pirfenidone for the Pulmonary Fibrosis of Hermansky-Pudlak Syndrome,Completed,Phase 2,Randomized,September 2005,"May 9, 2016",Treatment,Bethesda,Maryland,20892,All,18 Years,,2016-05-01,2005-09-01,3895.0
NCT00001723,8.0,Safety and Efficacy of Xenical in Children and Adolescents With Obesity-Related Diseases,Completed,Phase 2,Randomized,May 1998,October 2011,Treatment,Bethesda,Maryland,20892,All,12 Years,17 Years,2011-10-01,1998-05-01,4901.0
NCT00003869,21.87789084,Carboxyamidotriazole in Treating Patients With Stage III or Stage IV Non-small Cell Lung Cancer,Completed,Phase 3,Randomized,April 1999,May 2008,Treatment,Rochester,Minnesota,55905,All,18 Years,,2008-05-01,1999-04-01,3318.0
NCT00003901,0.8595988539,"Prognostic Study of Metastases in Patients With Stage I, Stage II, or Stage III Non-small Cell Lung Cancer That Can Be Removed by Surgery",Completed,Phase 3,,July 1999,October 2011,Diagnostic,Mobile,Alabama,36608,All,18 Years,,2011-10-01,1999-07-01,4475.0
NCT00045162,24.43651603,S0124: Cisplatin Combined With Irinotecan or Etoposide For Extensive-Stage Small Cell Lung Cancer,Completed,Phase 3,Randomized,November 2002,December 2009,Treatment,Anniston,Alabama,36202,All,18 Years,120 Years,2009-12-01,2002-11-01,2587.0
NCT00047385,1.406735931,National Lung Screening Trial (NLST) Screening,Completed,Phase 3,Randomized,August 2002,October 2010,Screening,Birmingham,Alabama,35233,All,55 Years,74 Years,2010-10-01,2002-08-01,2983.0
NCT00047463,13.63636364,Effects of Treating Obstructive Sleep Apnea in Epilepsy,Completed,Phase 2,Randomized,September 2002,July 2008,Treatment,Ann Arbor,Michigan,48109,All,18 Years,,2008-07-01,2002-09-01,2130.0
NCT00048997,7.975460123,Radiation Therapy in Preventing Central Nervous System (CNS) Metastases in Patients With Non-Small Cell Lung Cancer,Completed,Phase 3,Randomized,September 2002,December 2016,Treatment,Phoenix,Arizona,85013,All,18 Years,,2016-12-01,2002-09-01,5205.0
NCT00049543,0.0,"Gefitinib in Treating Patients With Stage IB, II, or IIIA Non-small Cell Lung Cancer That Was Completely Removed by Surgery",Completed,Phase 3,Randomized,September 2002,April 2011,Treatment,Kingston,Ontario,K7L 3N6,All,18 Years,,2011-04-01,2002-09-01,3134.0
NCT00050960,40.19607843,"Evaluation of Efficacy, Safety and Tolerability of Targretin Capsules in Patients With Advanced or Metastatic Non-small Cell Lung Cancer",Completed,Phase 3,Randomized,May 2002,March 2005,Treatment,Montgomery,Alabama,36106,All,,,2005-03-01,2002-05-01,1035.0
NCT00051363,22.62039077,Apnea Positive Pressure Long-Term Efficacy Study,Completed,Phase 3,Randomized,September 2002,September 2008,Treatment,Tucson,Arizona,85724,All,18 Years,,2008-09-01,2002-09-01,2192.0
NCT00053846,12.92056595,Buspirone in Reducing Shortness of Breath in Patients With Cancer,Completed,Phase 2/Phase 3,Randomized,November 2002,January 2011,Supportive Care,Chicago,Illinois,60612-7323,All,18 Years,120 Years,2011-01-01,2002-11-01,2983.0
NCT00057746,0.5050505051,Brain Irradiation in Treating Patients With Limited-Stage Small Cell Lung Cancer,Completed,Phase 2,Randomized,February 2003,November 2013,Treatment,Birmingham,Alabama,35294,All,,120 Years,2013-11-01,2003-02-01,3926.0
NCT00057837,20.45454545,Comparison of Two Combination Chemotherapy Regimens in Treating Patients With Extensive-Stage Small Cell Lung Cancer,Completed,Phase 2,Randomized,"July 14, 2004",August 2012,Treatment,Lewes,Delaware,19958,All,18 Years,,2012-08-01,2004-07-01,2953.0
NCT00062010,0.0,"Interferon Alfa, Isotretinoin, and Paclitaxel in Treating Patients With Recurrent Small Cell Lung Cancer",Completed,Phase 2,,"May 26, 2004",August 2012,Treatment,Decatur,Georgia,30033,All,18 Years,,2012-08-01,2004-05-01,3014.0
NCT00063154,25.58139535,"Safety and Effect of Pertuzumab in Patients With Advanced Non-Small Cell Lung Cancer, Which Has Progressed After Prior Chemotherapy",Completed,Phase 2,,July 2003,April 2005,Treatment,Scottsdale,Arizona,85258,All,18 Years,,2005-04-01,2003-07-01,640.0
NCT00065429,4.87804878,Safety Study Using Weekly Infusions of BB-10901 in Patients With Small Cell Lung Cancer,Completed,Phase 1/Phase 2,Non-Randomized,April 2003,December 2008,Treatment,Denver,Colorado,80218,All,18 Years,,2008-12-01,2003-04-01,2071.0
NCT00066222,1.408450704,"Cisplatin, Etoposide, and Radiation Therapy in Treating Patients With Limited-Stage Small Cell Lung Cancer",Completed,Phase 2,,June 2003,November 2013,Treatment,Birmingham,Alabama,35294,All,18 Years,,2013-11-01,2003-06-01,3806.0
NCT00069823,2.246453945,Study of Acid Reflux in Asthma,Completed,Phase 3,Randomized,September 2003,May 2008,Treatment,Birmingham,Alabama,35294,All,18 Years,,2008-05-01,2003-09-01,1704.0
NCT00071032,0.8433040077,Safety and Effectiveness of Two Blood Transfusion Strategies in Surgical Patients With Cardiovascular Disease,Completed,Phase 3,Randomized,July 2003,May 2009,Treatment,New Brunswick,New Jersey,08903,All,50 Years,,2009-05-01,2003-07-01,2131.0
NCT00078312,46.64634146,"Armodafinil (CEP-10953) for Treatment of Narcolepsy, Obstructive Sleep Apnea/Hypopnea Syndrome, or Chronic Shift Work Sleep Disorder",Completed,Phase 3,Non-Randomized,January 2004,July 2006,Treatment,Peoria,Arizona,85381,All,18 Years,65 Years,2006-07-01,2004-01-01,912.0
NCT00079040,1.587301587,"Cisplatin, Etoposide, and Bevacizumab in Treating Patients With Previously Untreated Extensive Stage Small Cell Lung Cancer",Completed,Phase 2,,January 2006,January 2009,Treatment,Boston,Massachusetts,02215,All,18 Years,,2009-01-01,2006-01-01,1096.0
